fold,stage,fit_n,train_n,test_n,test_overlap,outside_train,fit_scope
0,clustering,7585,7585,1897,0,0,train_only
0,target_selection,7585,7585,1897,0,0,train_only
0,centroid,7585,7585,1897,0,0,train_only
0,calibration,7585,7585,1897,0,0,train_only
0,threshold,7585,7585,1897,0,0,train_only
1,clustering,7585,7585,1897,0,0,train_only
1,target_selection,7585,7585,1897,0,0,train_only
1,centroid,7585,7585,1897,0,0,train_only
1,calibration,7585,7585,1897,0,0,train_only
1,threshold,7585,7585,1897,0,0,train_only
2,clustering,7586,7586,1896,0,0,train_only
2,target_selection,7586,7586,1896,0,0,train_only
2,centroid,7586,7586,1896,0,0,train_only
2,calibration,7586,7586,1896,0,0,train_only
2,threshold,7586,7586,1896,0,0,train_only
3,clustering,7586,7586,1896,0,0,train_only
3,target_selection,7586,7586,1896,0,0,train_only
3,centroid,7586,7586,1896,0,0,train_only
3,calibration,7586,7586,1896,0,0,train_only
3,threshold,7586,7586,1896,0,0,train_only
4,clustering,7586,7586,1896,0,0,train_only
4,target_selection,7586,7586,1896,0,0,train_only
4,centroid,7586,7586,1896,0,0,train_only
4,calibration,7586,7586,1896,0,0,train_only
4,threshold,7586,7586,1896,0,0,train_only
